chr	pos	N_20-N4	N_5-N1	N_5-N2	N_20-N2	N_5-N3	N_20-N1	N_OC-N5	N_OC-N1	N_OC-N2	N_OC-N4	S_20-S1	S_20-S3	S_20-S4	S_5-S3	S_5-S4	S_5-S2	S_20-S2	S_5-S1	S_OC-S1	S_OC-S2	S_OC-S3	S_OC-S5
KN805535.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805535.1:1:799646:1 REF	414192	0.79	0.73	0.89	0.77	0.91	0.89	0.69	1.00	0.94	0.87	0.92	1.00	0.62	0.79	0.88	0.95	0.77	0.30	0.82	0.77	0.92	0.86
KN805610.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805610.1:1:629617:1 REF	285262	0.89	0.92	0.95	0.88	0.75	0.83	0.73	0.84	0.83	0.88	0.89	0.94	0.84	0.79	0.88	0.81	0.87	0.60	0.80	0.80	0.89	0.38
KN805610.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805610.1:1:629617:1 REF	285275	0.85	0.95	0.97	0.89	0.91	0.75	0.86	0.84	0.90	0.94	0.90	0.89	0.86	0.84	0.88	0.87	0.80	0.88	0.86	0.87	0.87	0.47
KN805610.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805610.1:1:629617:1 REF	285278	0.90	0.89	0.90	0.89	0.93	0.92	0.95	0.90	0.93	0.92	0.90	0.91	0.91	0.86	0.84	0.90	0.87	0.81	0.86	0.85	0.87	0.47
KN805697.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805697.1:1:580679:1 REF	375041	0.60	0.63	0.73	0.75	0.58	0.76	0.37	0.62	0.59	0.67	0.70	0.70	0.74	0.69	0.85	0.60	0.38	0.78	0.54	0.80	0.58	0.75
KN805750.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805750.1:1:549272:1 REF	122053	0.95	0.86	0.88	0.92	0.77	0.86	0.68	0.82	0.94	0.92	0.88	0.85	0.83	0.93	0.91	0.81	0.69	0.79	0.88	0.79	0.89	0.86
KN805750.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805750.1:1:549272:1 REF	122065	0.94	0.95	0.97	0.97	0.93	0.92	0.80	0.92	0.88	0.90	0.87	0.89	0.94	0.93	0.92	0.93	0.94	0.87	0.93	0.94	0.92	0.93
KN805750.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805750.1:1:549272:1 REF	122071	0.91	0.79	0.91	0.93	0.93	0.89	0.92	0.89	0.79	0.82	0.76	0.97	0.94	0.89	0.91	0.90	0.94	0.95	0.83	0.89	0.93	1.00
KN805750.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805750.1:1:549272:1 REF	122078	0.85	0.88	0.91	0.93	0.93	0.97	0.92	0.83	0.79	0.84	0.84	0.91	0.93	0.88	0.87	0.87	0.71	0.97	0.91	0.95	0.91	1.00
KN805758.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805758.1:1:559975:1 REF	500227	0.74	0.67	0.79	0.47	0.65	0.87	0.71	0.68	0.49	0.86	0.75	0.58	0.64	0.64	0.87	0.73	1.00	0.76	0.59	0.27	0.64	0.16
KN805776.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805776.1:1:474727:1 REF	253072	0.58	0.91	0.71	0.76	0.50	0.52	0.41	0.73	0.75	0.78	0.61	0.56	0.64	0.54	0.62	0.53	0.50	0.60	0.76	0.75	0.59	1.00
KN805806.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805806.1:1:404367:1 REF	202789	0.78	0.91	0.98	0.84	0.79	0.68	0.78	0.82	0.88	0.91	0.90	0.87	0.85	0.78	0.87	0.92	0.92	0.92	0.84	0.85	0.89	1.00
KN805806.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805806.1:1:404367:1 REF	202796	0.56	0.50	0.75	0.47	0.44	0.57	0.61	0.69	0.42	0.94	0.56	0.83	0.72	0.56	0.73	0.59	0.52	0.42	0.52	0.72	0.72	0.60
KN805897.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805897.1:1:303231:1 REF	94541	0.85	0.85	0.80	0.93	0.92	0.70	0.74	0.72	0.85	0.92	0.92	0.86	0.91	0.87	0.78	0.91	0.54	0.72	0.78	0.73	0.91	1.00
KN806244.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN806244.1:1:151301:1 REF	95807	0.61	0.67	0.71	0.75	0.61	0.76	0.46	0.65	0.62	0.68	0.75	0.75	0.74	0.70	0.85	0.59	0.35	0.78	0.60	0.83	0.63	0.78
KN807290.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN807290.1:1:24974:1 REF	7512	0.86	0.86	0.70	0.55	0.91	0.75	0.67	0.93	0.60	0.90	0.92	0.77	0.77	0.73	0.97	0.80	0.52	0.91	0.89	0.91	0.75	0.49
KN807536.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN807536.1:1:18794:1 REF	18749	0.62	0.61	0.78	0.67	0.64	0.74	0.47	0.59	0.63	0.66	0.82	0.72	0.73	0.80	0.85	0.60	0.35	0.77	0.61	0.83	0.65	0.78
KN809317.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN809317.1:1:7841:1 REF	7554	0.73	0.69	0.72	0.68	0.70	0.75	0.23	0.65	0.70	0.93	0.41	0.78	0.53	0.69	0.53	0.60	0.38	0.65	0.74	0.47	0.72	0.80
KN809941.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN809941.1:1:7889:1 REF	1607	0.64	0.64	0.78	0.67	0.65	0.74	0.47	0.59	0.65	0.65	0.77	0.72	0.73	0.73	0.85	0.60	0.35	0.77	0.61	0.82	0.65	0.78
KN811283.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811283.1:1:3514852:1 REF	2222369	0.74	0.73	0.78	0.92	0.97	1.00	0.89	0.87	0.70	0.82	0.97	0.76	0.91	0.96	0.70	0.93	0.89	0.90	0.97	0.91	0.88	0.40
