chr	pos	N_5-N1	N_5-N2	N_5-N3	S_5-S3	S_5-S4	S_5-S2	S_5-S1
JXMV01055283.1	4650	0.47	0.57	0.48	0.70	0.78	0.64	0.67
JXMV01057965.1	3488	1.00	0.90	0.92	1.00	1.00	0.97	1.00
JXMV01057965.1	3494	0.97	0.81	0.58	0.21	1.00	0.10	1.00
JXMV01059847.1	2053	0.70	0.41	0.18	0.23	0.85	0.36	1.00
JXMV01059847.1	2091	1.00	0.59	0.27	0.33	0.86	0.62	1.00
JXMV01063433.1	959	0.82	0.72	0.79	0.56	0.77	0.62	1.00
JXMV01063433.1	962	0.81	0.74	0.83	0.58	0.86	0.85	0.97
JXMV01064167.1	11880	0.91	1.00	0.98	1.00	0.86	0.42	0.77
JXMV01064167.1	11900	0.85	0.45	0.52	0.38	0.89	0.69	0.76
JXMV01064171.1	3112	0.76	1.00	0.86	0.91	0.96	0.78	0.69
JXMV01064187.1	3481	0.95	0.97	1.00	0.92	0.65	0.98	0.46
JXMV01064276.1	217	0.88	0.89	0.56	0.50	0.93	0.52	1.00
JXMV01064333.1	3657	0.18	0.67	0.84	0.57	0.85	0.45	0.68
JXMV01064366.1	1919	1.00	0.46	0.97	0.67	0.42	0.86	1.00
JXMV01064366.1	1998	1.00	1.00	0.97	1.00	0.97	0.97	0.99
JXMV01064423.1	10	0.91	0.71	0.86	1.00	0.76	0.49	1.00
JXMV01064423.1	31	0.87	0.55	1.00	0.97	0.89	0.16	1.00
JXMV01064423.1	34	0.87	0.70	0.93	1.00	0.83	0.16	1.00
JXMV01064423.1	41	0.86	0.61	0.95	0.97	1.00	0.16	1.00
JXMV01064423.1	57	0.70	0.56	0.64	0.84	0.82	0.52	1.00
JXMV01064440.1	5444	0.50	0.58	0.50	0.89	0.78	0.64	0.62
JXMV01064449.1	74	0.35	0.47	0.21	0.31	0.96	0.67	1.00
JXMV01064449.1	5026	0.90	0.86	0.25	1.00	0.91	1.00	0.38
JXMV01064453.1	105	0.75	0.61	0.59	0.79	0.68	0.70	0.61
JXMV01064459.1	5286	0.66	0.56	0.77	0.94	0.79	0.26	1.00
JXMV01064500.1	4894	1.00	0.86	1.00	0.95	0.98	0.98	1.00
JXMV01064500.1	4903	0.76	0.66	1.00	0.97	0.81	0.89	1.00
JXMV01064500.1	4905	1.00	0.90	0.92	1.00	1.00	0.95	1.00
JXMV01064500.1	4911	1.00	0.69	0.92	1.00	0.89	0.98	1.00
JXMV01064500.1	4913	1.00	0.76	1.00	0.90	0.98	0.98	1.00
JXMV01064500.1	4916	0.94	0.83	1.00	1.00	0.90	0.95	1.00
JXMV01064500.1	4935	1.00	0.93	1.00	0.37	1.00	1.00	1.00
JXMV01064589.1	4263	0.30	0.97	0.82	0.94	0.91	0.94	0.78
JXMV01064601.1	2607	0.28	0.57	0.19	0.37	0.48	0.17	0.43
JXMV01064615.1	2616	0.94	0.86	0.94	0.95	0.82	0.95	1.00
JXMV01064615.1	2625	0.75	0.66	1.00	0.97	0.55	0.63	1.00
JXMV01064615.1	2627	1.00	0.90	0.94	1.00	1.00	0.84	1.00
JXMV01064615.1	2633	1.00	0.69	0.94	1.00	0.73	0.95	1.00
JXMV01064615.1	2635	1.00	0.76	1.00	0.89	1.00	0.95	1.00
JXMV01064650.1	3824	1.00	1.00	0.89	1.00	0.98	1.00	1.00
JXMV01064650.1	3836	1.00	1.00	0.87	1.00	1.00	0.60	1.00
JXMV01064678.1	3446	0.90	0.95	0.94	0.85	0.86	0.77	0.91
JXMV01064678.1	3451	0.80	0.90	0.94	0.85	1.00	0.77	0.96
JXMV01064678.1	3453	0.91	0.75	0.88	0.85	0.86	0.77	0.73
JXMV01064678.1	3485	0.64	0.90	0.71	0.82	0.73	0.86	0.81
JXMV01064810.1	69	0.81	0.83	0.82	0.94	0.97	0.94	0.89
JXMV01064940.1	4315	1.00	1.00	0.89	1.00	0.80	0.94	1.00
JXMV01064940.1	4327	1.00	1.00	0.87	1.00	1.00	0.60	1.00
JXMV01065036.1	101	0.87	0.92	1.00	0.55	0.95	0.83	1.00
JXMV01065036.1	106	0.76	1.00	0.93	0.55	0.67	0.69	1.00
JXMV01065079.1	1899	0.17	0.54	0.19	0.96	0.87	0.50	0.93
JXMV01065226.1	74	0.97	0.93	1.00	0.94	0.97	0.95	0.71
JXMV01065226.1	76	0.97	0.77	0.97	0.94	0.91	1.00	0.79
JXMV01065226.1	81	1.00	1.00	0.20	0.97	0.79	0.92	0.92
JXMV01065226.1	87	1.00	0.85	0.98	0.94	1.00	1.00	0.83
JXMV01065226.1	1619	1.00	0.85	0.93	0.97	0.82	0.88	0.86
JXMV01065226.1	1640	1.00	0.98	1.00	1.00	0.88	0.88	0.75
JXMV01065254.1	54	0.43	0.70	0.56	0.84	0.59	0.78	0.75
JXMV01065266.1	2055	1.00	0.90	1.00	0.96	1.00	0.97	1.00
JXMV01065266.1	2081	1.00	1.00	1.00	0.96	1.00	0.97	1.00
JXMV01065266.1	2087	0.98	0.86	0.71	1.00	0.98	0.90	1.00
JXMV01065266.1	2100	0.98	0.80	0.96	0.96	0.98	0.97	1.00
JXMV01065341.1	1827	0.57	0.30	0.60	0.72	0.71	0.43	0.74
JXMV01065419.1	1957	0.92	0.89	0.96	0.98	0.97	1.00	0.99
JXMV01065431.1	563	0.66	0.88	0.88	0.80	0.87	0.94	0.93
JXMV01065431.1	595	0.45	0.95	0.86	0.97	0.89	0.96	0.90
JXMV01065431.1	597	0.51	0.91	0.79	0.97	0.98	0.97	0.95
JXMV01065431.1	602	0.53	0.95	0.83	0.89	0.90	0.97	0.95
JXMV01065449.1	1848	0.91	0.57	0.57	0.35	0.62	0.20	0.69
JXMV01065514.1	504	0.86	0.69	0.68	0.62	0.85	0.89	0.95
JXMV01065514.1	523	1.00	0.74	0.82	0.54	0.88	0.84	1.00
JXMV01065514.1	531	1.00	0.95	1.00	1.00	1.00	1.00	1.00
JXMV01065514.1	538	0.89	1.00	1.00	1.00	0.92	0.89	1.00
JXMV01065520.1	2538	0.94	0.69	1.00	0.88	0.97	0.63	0.79
JXMV01065520.1	2623	1.00	1.00	0.98	1.00	0.96	1.00	0.94
JXMV01065520.1	2624	0.81	0.89	0.87	0.86	0.94	0.67	0.88
JXMV01065520.1	2657	0.94	0.59	0.88	0.98	0.49	0.91	0.89
JXMV01065520.1	2658	0.94	0.92	0.90	1.00	0.98	0.64	0.88
JXMV01065520.1	2662	0.96	1.00	0.76	1.00	0.96	0.84	0.94
JXMV01065520.1	2663	0.94	0.92	0.85	0.81	0.89	0.60	0.94
JXMV01065520.1	2669	0.93	0.90	0.87	0.95	0.94	0.88	0.94
JXMV01065542.1	1302	0.66	1.00	0.97	0.91	1.00	1.00	1.00
JXMV01065542.1	1683	0.87	0.83	0.86	0.91	0.89	0.90	0.97
JXMV01065542.1	1688	0.78	0.88	0.86	0.97	0.75	0.80	1.00
JXMV01065542.1	1690	0.78	0.79	0.73	0.88	0.90	0.80	0.88
JXMV01065542.1	1722	0.67	0.73	0.67	0.91	0.93	1.00	0.91
JXMV01065663.1	88	1.00	0.94	1.00	1.00	1.00	1.00	0.98
JXMV01065663.1	107	1.00	0.84	1.00	1.00	0.96	0.95	1.00
JXMV01065663.1	110	1.00	0.80	1.00	0.81	0.98	0.98	1.00
JXMV01065663.1	112	1.00	0.67	0.67	1.00	0.90	0.98	1.00
JXMV01065663.1	118	1.00	0.90	0.67	1.00	0.46	0.94	1.00
JXMV01065663.1	120	0.27	0.63	1.00	0.90	0.19	0.87	1.00
JXMV01065663.1	129	1.00	0.90	1.00	0.90	0.90	0.98	1.00
JXMV01065715.1	1006	1.00	0.82	0.94	0.90	0.86	0.93	0.94
JXMV01066163.1	509	0.61	0.38	0.79	0.81	0.79	0.58	0.60
JXMV01066217.1	722	1.00	1.00	0.26	0.82	0.98	0.98	1.00
JXMV01066217.1	731	0.53	1.00	0.80	1.00	1.00	0.45	1.00
JXMV01066244.1	800	1.00	0.97	0.51	0.43	0.62	0.98	1.00
JXMV01066332.1	1098	0.66	0.73	0.56	0.42	0.88	0.52	0.50
JXMV01066332.1	1114	0.75	0.90	1.00	0.50	0.93	0.45	0.45
JXMV01066332.1	1143	0.68	0.81	0.98	0.46	0.66	0.57	1.00
JXMV01066606.1	780	0.47	0.66	0.32	0.83	0.97	0.46	0.51
JXMV01066606.1	810	0.48	0.86	0.87	0.94	0.97	0.76	0.82
JXMV01067024.1	590	0.74	1.00	0.52	1.00	0.88	0.85	1.00
JXMV01067060.1	128	0.89	0.95	1.00	1.00	0.92	0.89	1.00
