NC_046361.1	10902397	10902516	0.047	-0.303000	10	0.582	0.885
NC_046362.1	24575499	24575593	9.9e-05	0.573636	11	0.91273	0.33909
NC_046362.1	24584027	24584121	9.9e-05	0.573636	11	0.91273	0.33909
NC_046362.1	35470061	35470157	0.0025	-0.566987	13	0.075897	0.64288
NC_046363.1	203897	205027	0.022	-0.261771	16	0.54854	0.81031
NC_046369.1	26223581	26223702	0.0055	-0.368186	17	0.46078	0.82897
NC_046373.1	14583736	14583847	1.8e-06	0.548889	12	0.90639	0.3575
NC_046373.1	14592139	14592233	3e-05	0.570455	11	0.91273	0.34227
NC_046374.1	20646131	20646225	9.9e-05	0.575455	11	0.91273	0.33727
NC_046374.1	20654367	20654461	9.9e-05	0.575455	11	0.91273	0.33727
NC_046380.1	19957817	19958059	1.3e-25	0.586514	49	0.69014	0.10362
NC_046381.1	2490515	2490609	9.9e-05	0.575455	11	0.91273	0.33727
NC_046381.1	2499040	2499134	9.9e-05	0.575455	11	0.91273	0.33727
