Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
190626_I114_FCH7TVNBBXY_L2_20-N4_1_val_1	190626_I114_FCH7TVNBBXY_L2_20-N4_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	31986987.0	0.0	20-49	31.0	12.187494630244833	47.260431593635246	pass	pass	fail	pass	fail	pass	pass	warn	fail	warn	pass
190626_I114_FCH7TVNBBXY_L2_20-N4_2_val_2	190626_I114_FCH7TVNBBXY_L2_20-N4_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	31986987.0	0.0	20-49	28.0	17.007977383902954	45.94971645813343	pass	pass	fail	pass	fail	warn	pass	warn	fail	warn	pass
190626_I114_FCH7TVNBBXY_L2_20-S1_1_val_1	190626_I114_FCH7TVNBBXY_L2_20-S1_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	33173136.0	0.0	20-49	31.0	12.223581476740382	47.364059219484105	pass	pass	fail	pass	fail	pass	pass	warn	fail	warn	pass
190626_I114_FCH7TVNBBXY_L2_20-S1_2_val_2	190626_I114_FCH7TVNBBXY_L2_20-S1_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	33173136.0	0.0	20-49	28.0	16.241081209614993	46.0242976123813	pass	pass	fail	pass	fail	warn	pass	warn	fail	warn	pass
190626_I114_FCH7TVNBBXY_L2_20-S3_1_val_1	190626_I114_FCH7TVNBBXY_L2_20-S3_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	29591220.0	0.0	20-49	31.0	11.939312220242615	47.352529466510674	pass	pass	fail	pass	fail	pass	pass	warn	fail	warn	pass
190626_I114_FCH7TVNBBXY_L2_20-S3_2_val_2	190626_I114_FCH7TVNBBXY_L2_20-S3_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	29591220.0	0.0	20-49	28.0	17.192377644666912	46.02928172613363	pass	pass	fail	pass	fail	warn	pass	warn	fail	warn	pass
190626_I114_FCH7TVNBBXY_L2_20-S4_1_val_1	190626_I114_FCH7TVNBBXY_L2_20-S4_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	28894606.0	0.0	20-49	31.0	11.87900414671654	47.28780679688105	pass	pass	fail	pass	fail	pass	pass	warn	fail	warn	pass
190626_I114_FCH7TVNBBXY_L2_20-S4_2_val_2	190626_I114_FCH7TVNBBXY_L2_20-S4_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	28894606.0	0.0	20-49	28.0	16.034679757152052	45.96293491594936	pass	pass	fail	pass	fail	warn	pass	warn	fail	warn	pass
190626_I114_FCH7TVNBBXY_L2_5-N1_1_val_1	190626_I114_FCH7TVNBBXY_L2_5-N1_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	19973457.0	0.0	20-49	31.0	10.808626026556112	47.26358942270234	pass	pass	fail	pass	fail	warn	pass	warn	fail	warn	pass
190626_I114_FCH7TVNBBXY_L2_5-N1_2_val_2	190626_I114_FCH7TVNBBXY_L2_5-N1_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	19973457.0	0.0	20-49	28.0	15.876997489735409	45.98259379936082	pass	pass	fail	pass	fail	warn	pass	warn	fail	warn	pass
190626_I114_FCH7TVNBBXY_L2_5-N2_1_val_1	190626_I114_FCH7TVNBBXY_L2_5-N2_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	28405897.0	0.0	20-49	31.0	11.828562145608235	47.34959336084335	pass	pass	fail	pass	fail	pass	pass	warn	fail	warn	pass
190626_I114_FCH7TVNBBXY_L2_5-N2_2_val_2	190626_I114_FCH7TVNBBXY_L2_5-N2_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	28405897.0	0.0	20-49	27.0	16.835825837533243	45.99603596394087	pass	pass	fail	pass	fail	pass	pass	warn	fail	warn	pass
190626_I114_FCH7TVNBBXY_L2_5-S3_1_val_1	190626_I114_FCH7TVNBBXY_L2_5-S3_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	25865202.0	0.0	20-49	30.0	10.816098060938575	47.228881181751454	pass	pass	fail	pass	fail	pass	pass	warn	fail	warn	pass
190626_I114_FCH7TVNBBXY_L2_5-S3_2_val_2	190626_I114_FCH7TVNBBXY_L2_5-S3_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	25865202.0	0.0	20-49	27.0	15.498509593302156	45.88914758910447	pass	pass	fail	pass	fail	warn	pass	warn	fail	warn	pass
190626_I114_FCH7TVNBBXY_L2_5-S4_1_val_1	190626_I114_FCH7TVNBBXY_L2_5-S4_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	31022820.0	0.0	20-49	31.0	11.982903256098254	47.3049275339895	pass	pass	fail	pass	fail	pass	pass	warn	fail	warn	pass
190626_I114_FCH7TVNBBXY_L2_5-S4_2_val_2	190626_I114_FCH7TVNBBXY_L2_5-S4_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	31022820.0	0.0	20-49	27.0	15.575183832914952	46.019590933383874	pass	pass	fail	pass	fail	pass	pass	warn	fail	warn	pass
190626_I114_FCH7TVNBBXY_L2_OC-S1_1_val_1	190626_I114_FCH7TVNBBXY_L2_OC-S1_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	25141779.0	0.0	20-49	31.0	11.551152701732722	47.287052002167385	pass	pass	fail	pass	fail	pass	pass	warn	fail	warn	pass
