NC_046361.1	977700	978412	1	-0.128750	12	0.055	0.29	0.4525	0.58125
NC_046361.1	1674795	1674850	1	-0.152692	13	0.14	0.29	0.018077	0.17077
NC_046361.1	10195244	10195322	1	0.105750	10	0.42	0.67	0.816	0.71025
NC_046361.1	16113366	16113518	1	-0.136429	14	0.0099	0.12	0.59714	0.73357
NC_046361.1	35016369	35016447	1	0.108250	10	0.36	0.67	0.815	0.70675
NC_046361.1	38119247	38119364	1	-0.205500	10	0.047	0.071	0.58825	0.79375
NC_046361.1	41998881	41998977	1	-0.134750	10	0.00097	0.002	0.81325	0.948
NC_046361.1	42588953	42589326	1	0.101875	12	0.15	0.11	0.79229	0.69042
NC_046362.1	8383679	8383723	1	-0.130714	14	0.023	0.12	0.0039286	0.13464
NC_046362.1	24103649	24103769	1	-0.202000	10	0.021	0.03	0.2665	0.4685
NC_046362.1	24105804	24105924	1	-0.202250	10	0.021	0.03	0.26625	0.4685
NC_046362.1	31439855	31439975	1	-0.201750	10	0.016	0.022	0.26975	0.4715
NC_046362.1	31441974	31442094	1	-0.207000	10	0.015	0.016	0.2625	0.4695
NC_046363.1	1965540	1965695	0.66	0.275000	10	6.4e-06	1.4e-05	0.54425	0.26925
NC_046363.1	11482768	11483305	1	-0.256500	10	0.0012	0.011	0.48725	0.74375
NC_046363.1	14819084	14819107	1	-0.135500	10	0.0081	0.022	0.05025	0.18575
NC_046363.1	25699550	25699605	1	-0.149038	13	0.32	0.25	0.029038	0.17808
NC_046363.1	38703039	38704287	1	-0.169500	10	0.0058	0.0085	0.67625	0.84575
NC_046364.1	4016798	4017143	1	0.199500	10	0.0044	0.022	0.70625	0.50675
NC_046364.1	5939428	5939601	1	0.144545	11	0.021	0.027	0.5725	0.42795
NC_046364.1	8106438	8107697	1	-0.153500	10	0.0019	0.012	0.70825	0.86175
NC_046364.1	21286324	21286484	1	0.186250	10	0.0073	0.0058	0.42625	0.24
NC_046364.1	38575521	38575565	1	0.169750	10	0.13	0.041	0.45275	0.283
NC_046364.1	40569511	40569574	1	0.116500	10	0.0069	0.016	0.16075	0.04425
NC_046365.1	591306	591358	1	0.308864	11	0.0078	0.002	0.49455	0.18568
NC_046365.1	1088945	1089100	1	0.248250	10	9.4e-05	0.00015	0.547	0.29875
NC_046365.1	12113218	12113376	1	0.150909	11	0.021	0.12	0.80727	0.65636
NC_046365.1	13361434	13361502	1	0.160750	10	0.0054	0.0028	0.806	0.64525
NC_046365.1	20666890	20667013	1	0.101000	10	0.39	0.12	0.1375	0.0365
NC_046365.1	21733262	21733454	1	0.157115	13	0.0081	0.043	0.38885	0.23173
NC_046365.1	24153092	24154198	1	-0.137692	13	0.014	0.14	0.68885	0.82654
NC_046365.1	31110423	31110475	1	0.308864	11	0.0078	0.002	0.49455	0.18568
NC_046365.1	42250669	42250693	1	-0.247273	11	0.00084	0.00029	0.13523	0.3825
NC_046365.1	42380491	42380732	1	0.299500	10	1.9e-05	0.0042	0.71625	0.41675
NC_046366.1	3617446	3617576	1	0.155250	20	0.1	0.16	0.8785	0.72325
NC_046366.1	15757413	15757491	1	0.109500	10	0.4	0.58	0.81	0.7005
NC_046366.1	15952916	15953096	1	0.261923	13	4.3e-06	6.6e-05	0.69904	0.43712
NC_046366.1	24727330	24727354	1	-0.280000	11	0.00064	0.00029	0.1375	0.4175
NC_046366.1	31610360	31610407	1	0.203000	10	0.026	0.15	0.8615	0.6585
NC_046366.1	32856829	32857009	1	0.258462	13	4.9e-06	6.6e-05	0.69462	0.43615
NC_046367.1	2437964	2437997	1	-0.106250	12	6.1e-05	0.013	0.79958	0.90583
NC_046367.1	2439530	2439606	1	-0.155250	10	0.026	0.071	0.64925	0.8045
NC_046367.1	7657026	7657418	1	-0.123750	10	0.22	0.35	0.7685	0.89225
NC_046367.1	10010530	10010637	1	-0.208000	10	0.011	0.016	0.595	0.803
NC_046367.1	21658609	21658662	1	0.109318	11	0.49	0.35	0.15955	0.050227
NC_046367.1	27169586	27169659	1	-0.267500	10	0.0017	0.0018	0.5285	0.796
NC_046367.1	32398384	32399644	1	-0.156750	10	0.005	0.0083	0.712	0.86875
NC_046367.1	32848978	32849514	1	-0.255250	10	0.0012	0.011	0.4885	0.74375
NC_046367.1	41678559	41678679	1	-0.211250	10	0.012	0.0084	0.263	0.47425
NC_046368.1	4642062	4642135	1	-0.115000	12	0.00073	0.0027	0.0027083	0.11771
NC_046368.1	23921151	23921271	1	-0.211250	10	0.013	0.012	0.264	0.47525
NC_046368.1	23923221	23923341	1	-0.201000	10	0.017	0.022	0.2685	0.4695
NC_046368.1	27025360	27025554	1	0.139792	12	2.4e-05	0.00014	0.24875	0.10896
NC_046369.1	2258394	2258567	1	0.143409	11	0.015	0.011	0.57295	0.42955
NC_046369.1	4984001	4984242	1	0.308750	10	2.4e-05	0.0006	0.70825	0.3995
NC_046369.1	24226561	24226580	1	-0.284500	10	0.00017	0.0029	0.07675	0.36125
NC_046369.1	29447108	29447218	1	-0.176000	10	0.057	0.093	0.61625	0.79225
NC_046369.1	36918373	36918454	1	0.268250	10	0.0004	0.012	0.757	0.48875
NC_046370.1	4580772	4581063	1	-0.135250	10	0.015	0.23	0.6605	0.79575
NC_046370.1	13970186	13970306	1	-0.202250	10	0.021	0.03	0.26625	0.4685
NC_046370.1	17023571	17023623	1	0.308864	11	0.0078	0.002	0.49455	0.18568
NC_046370.1	21493874	21493961	1.4e-05	0.724750	10	2.9e-12	3.1e-10	0.85125	0.1265
NC_046370.1	31421130	31421500	1	-0.130000	10	0.0053	0.066	0.71325	0.84325
NC_046371.1	4495593	4495648	1	-0.149038	13	0.095	0.2	0.022692	0.17173
NC_046371.1	8099659	8100001	1	-0.119750	10	0.14	0.041	0.05475	0.1745
NC_046371.1	17982124	17982302	1	-0.124250	10	0.99	0.041	0.624	0.74825
NC_046371.1	27250912	27251067	1	-0.138500	10	0.00027	0.0015	0.6905	0.829
NC_046371.1	27253738	27253943	1	0.144500	10	0.049	0.29	0.68425	0.53975
NC_046371.1	33063503	33063634	1	-0.233958	12	0.0026	0.03	0.37458	0.60854
NC_046372.1	4668828	4668980	1	-0.138214	14	0.0069	0.12	0.59625	0.73446
