chr	pos	N_20-N4	N_20-N2	N_20-N1	S_20-S1	S_20-S3	S_20-S4	S_20-S2
JXMV01064885.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:JXMV01064885.1:1:3036:1 REF	130	0.92	0.73	1.00	1.00	0.55	0.98	0.53
JXMV01065341.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:JXMV01065341.1:1:4652:1 REF	1827	0.82	0.45	0.10	0.55	0.57	0.74	1.00
KN805530.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805530.1:1:807053:1 REF	453250	0.77	0.73	0.47	0.95	0.92	0.78	0.67
KN805534.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805534.1:1:830144:1 REF	131081	0.91	0.60	0.83	0.95	0.96	0.76	0.95
KN805535.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805535.1:1:799646:1 REF	414192	0.79	0.77	0.89	0.92	1.00	0.62	0.77
KN805541.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805541.1:1:869461:1 REF	314311	0.17	0.10	0.28	0.16	0.23	0.17	0.30
KN805541.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805541.1:1:869461:1 REF	649966	0.85	0.98	0.42	0.88	0.78	0.70	1.00
KN805541.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805541.1:1:869461:1 REF	649983	0.63	0.47	0.96	0.73	0.75	0.74	1.00
KN805561.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805561.1:1:889394:1 REF	782312	0.11	0.76	0.60	0.62	0.54	0.37	0.83
KN805572.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805572.1:1:695582:1 REF	467680	0.81	0.69	0.96	1.00	0.93	0.57	0.83
KN805574.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805574.1:1:762438:1 REF	27159	0.89	0.16	0.94	0.86	0.97	0.86	1.00
KN805579.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805579.1:1:797159:1 REF	32093	0.48	0.53	0.22	0.76	0.69	0.73	0.24
KN805591.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805591.1:1:697966:1 REF	143317	0.91	0.61	0.94	0.92	0.78	0.96	0.72
KN805604.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805604.1:1:3955291:1 REF	3648207	0.95	0.95	1.00	0.78	0.50	0.53	0.61
KN805607.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805607.1:1:673418:1 REF	412781	0.42	0.71	0.69	0.77	0.86	0.92	0.83
KN805610.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805610.1:1:629617:1 REF	285262	0.89	0.88	0.83	0.89	0.94	0.84	0.87
