chr	pos	N_20-N4	N_20-N2	N_20-N1	S_20-S1	S_20-S3	S_20-S4	S_20-S2
JXMV01052596.1	1389	0.00	0.00	1.00	0.00	0.00	0.12	0.00
JXMV01053382.1	917	0.35	0.14	0.08	0.79	0.64	0.84	0.00
JXMV01053382.1	10961	0.37	0.00	0.00	0.46	1.00	1.00	1.00
JXMV01053382.1	10968	0.38	0.00	0.00	0.21	0.00	0.00	1.00
JXMV01053681.1	9157	0.00	0.00	0.00	0.00	0.01	0.00	0.00
JXMV01054824.1	11705	0.06	0.00	0.00	0.01	0.00	0.00	0.00
JXMV01054824.1	11766	0.08	0.11	0.38	0.10	0.09	0.09	0.00
JXMV01055440.1	8256	0.93	0.31	0.00	0.86	0.47	0.62	0.00
JXMV01055644.1	6504	0.48	0.05	0.04	0.35	0.30	0.74	1.00
JXMV01056265.1	6431	0.22	0.18	0.00	0.07	0.00	0.00	0.00
JXMV01056265.1	6494	0.00	0.00	0.00	0.07	0.00	0.00	0.00
JXMV01056265.1	6495	0.00	0.09	0.00	0.00	0.08	0.04	0.00
JXMV01056265.1	6503	0.00	0.09	0.00	0.00	0.03	0.07	0.00
JXMV01056319.1	89	0.15	0.16	0.35	0.06	0.05	0.06	0.00
JXMV01056319.1	145	0.00	0.00	0.03	0.08	0.03	0.01	0.00
JXMV01056454.1	7417	1.00	0.62	1.00	1.00	1.00	1.00	0.99
JXMV01056454.1	7464	0.40	0.95	0.99	0.69	0.73	0.96	0.00
JXMV01056490.1	9261	0.22	0.46	1.00	0.83	0.44	0.53	0.08
JXMV01056490.1	9264	0.28	0.46	1.00	0.67	0.68	0.33	0.08
JXMV01056490.1	9272	0.82	0.47	1.00	0.99	0.85	0.23	0.98
JXMV01056490.1	9281	0.72	0.65	0.98	0.97	0.69	0.78	0.94
JXMV01057363.1	4077	0.01	0.00	0.00	0.00	0.17	0.00	0.00
JXMV01057363.1	4120	0.13	0.00	0.00	0.00	0.00	0.00	0.00
JXMV01057451.1	2455	0.21	0.00	0.00	0.22	0.03	0.03	0.00
JXMV01058002.1	5626	1.00	1.00	0.00	1.00	1.00	0.81	1.00
JXMV01058392.1	169	0.09	0.21	0.00	0.16	0.11	0.00	0.00
JXMV01058392.1	174	0.00	0.00	0.00	0.00	0.00	0.11	0.00
JXMV01058392.1	183	0.00	0.00	0.00	0.00	0.00	0.11	0.00
JXMV01058392.1	190	0.00	0.06	0.00	0.00	0.00	0.00	0.00
JXMV01058392.1	197	0.00	0.00	0.00	0.00	0.00	0.00	0.00
