sample,total_mappings,total_query_reads,map_unique_pair_end,perc_map_unique_pair_end,map_multiple_pair_end,perc_map_multiple_pair_end,map_unique_one_mate,perc_map_unique_one_mate,map_multiple_one_mate,perc_map_multiple_one_mate,map_unique_single_end,perc_map_unique_single_end,map_multiple_single_end,,sum_mapped_reads,perc_sum_mapped_reads,sum_mapped_mates
L2_5-N1,113461132,19973457,14436644,0.722791453,2765548,0.138461159,1056172,0.052878778,374903,0.018770061,0,0,0,0,18633267,0.93290145,35835459
L2_5-N2,143637993,28405897,21048681,0.740996878,3499623,0.12320058,1569285,0.055245043,546031,0.019222452,0,0,0,0,26663620,0.938664954,51211924
L3_5-N3,119007776,24038489,17818824,0.741262232,3041959,0.12654535,1207022,0.050212058,412949,0.017178659,0,0,0,0,22480754,0.935198298,43341537
L4_5-S1,152399685,27934635,21010691,0.75213766,3331536,0.119261841,1353974,0.048469364,453784,0.016244494,0,0,0,0,26149985,0.936113359,50492212
L3_5-S2,116687914,25870062,19468654,0.752555367,2651845,0.102506326,1326452,0.05127363,416657,0.01610576,0,0,0,0,23863608,0.922441083,45984107
L2_5-S3,134072614,25865202,19728370,0.762737906,3114188,0.120400684,1180815,0.045652649,403084,0.015584027,0,0,0,0,24426457,0.944375265,47269015
L2_5-S4,167157740,31022820,22851628,0.736607052,4101277,0.13220194,1651931,0.053248899,580564,0.018714095,0,0,0,0,29185400,0.940771987,56138305
L4_20-N1,109666574,26133105,19307676,0.738820588,2453810,0.093896611,1613931,0.061758103,505746,0.019352695,0,0,0,0,23881163,0.913827997,45642649
L3_20-N2,71271915,18227182,14619761,0.802085643,1609547,0.088304764,853527,0.046827151,251597,0.013803395,0,0,0,0,17334432,0.951020953,33563740
L2_20-N4,156239942,31986987,22779198,0.712139533,3751151,0.117271158,1559695,0.048760297,543759,0.016999382,0,0,0,0,28633803,0.89517037,55164152
L2_20-S1,183105216,33173136,24095150,0.726345257,4648147,0.140117805,1702878,0.051333042,662811,0.019980354,0,0,0,0,31108986,0.937776459,59852283
L4_20-S2,77401760,21250671,16250858,0.764722112,1536153,0.07228727,1126492,0.053009714,321897,0.015147616,0,0,0,0,19235400,0.905166712,37022411
L2_20-S3,144063290,29591220,21304359,0.719955412,3465677,0.117118422,1328175,0.044884091,491542,0.016611076,0,0,0,0,26589753,0.898569001,51359789
L2_20-S4,161780872,28894606,20953002,0.725152715,3976695,0.13762759,1446132,0.050048511,533640,0.018468499,0,0,0,0,26909469,0.931297315,51839166
L3_OC-N1,96157526,21362823,15550038,0.727901832,2276244,0.106551648,1701747,0.079659275,507352,0.023749296,0,0,0,0,20035381,0.937862051,37861663
L3_OC-N2,113534108,21575942,16046111,0.743703844,2669150,0.123709546,1111343,0.051508435,387398,0.017955091,0,0,0,0,20214002,0.936876916,38929263
L3_OC-N4,94646057,19798530,13755878,0.694792896,2477059,0.125113279,1105578,0.055841419,391782,0.019788439,0,0,0,0,17730297,0.895536032,33963234
L3_OC-N5,76174991,18864863,14545429,0.771032846,1670352,0.088543023,1116663,0.059192744,339753,0.018009831,0,0,0,0,17672197,0.936778444,33887978
L2_OC-S1,139019038,25141779,18305023,0.728071908,3366642,0.133906276,1437038,0.057157371,503700,0.020034382,0,0,0,0,23612403,0.939169937,45284068
L3_OC-S2,63383194,14347472,11114430,0.774661209,1458634,0.101664879,732028,0.051021392,221586,0.015444254,0,0,0,0,13526678,0.942791734,26099742
L3_OC-S3,131047078,23138771,16685092,0.721088082,3182660,0.137546631,1189376,0.051401866,444901,0.019227512,0,0,0,0,21502029,0.929264091,41369781
L4_OC-S5,94777274,27951782,20876703,0.746882721,1962587,0.070213305,2488660,0.089034037,773401,0.027669112,0,0,0,0,26101351,0.933799176,48940641
