NC_046363.1	3538100	3538292	1.6e-05	0.227213	29	0.89713	0.66991
NC_046364.1	22883537	22883766	4.2e-06	0.227690	35	0.89019	0.6625
NC_046366.1	7081208	7081367	0.0022	0.232569	24	0.89778	0.66521
NC_046367.1	16770264	16770423	0.00052	0.225868	24	0.89639	0.67052
NC_046373.1	281709	281971	1.6e-07	0.226979	40	0.89042	0.66344
NC_046376.1	57649	57779	0.011	0.224083	20	0.89083	0.66675
NC_046376.1	37486144	37486331	0.022	0.235694	24	0.85611	0.62042
NC_046381.1	24998741	24998900	0.013	0.231184	19	0.89526	0.66408
NC_046382.1	24016650	24016784	0.00011	0.239306	18	0.79833	0.55903
NW_023397099.1	1670533	1670680	4.9e-05	0.206447	19	0.76579	0.55934
