NC_046362.1	39864318	39864358	0.026	0.204905	10	0.70596	0.50105
NC_046363.1	203897	205027	5e-06	-0.250622	13	0.43378	0.6844
NC_046363.1	11482768	11483020	0.00037	-0.224418	12	0.51795	0.74237
NC_046366.1	15952916	15953096	0.0018	0.209282	17	0.74333	0.53405
NC_046366.1	32856829	32857009	0.00099	0.201819	17	0.7314	0.52958
NC_046367.1	32848978	32849069	0.0012	-0.259464	10	0.50836	0.76783
NC_046372.1	26908073	26908253	0.0026	0.205786	17	0.74394	0.53815
NC_046373.1	7352980	7353160	0.00061	0.218065	17	0.74181	0.52374
NC_046381.1	4397623	4397714	0.0041	-0.243310	10	0.52177	0.76508
NW_023396868.1	506268	506448	0.00099	0.211454	17	0.73984	0.52839
NW_023397165.1	42333	42513	0.019	0.179583	17	0.72439	0.5448
